,YEAR,COUNTY,TOTAL PRCP
0,2014,ANDERSON,35.59999999999999
1,2014,ANDREW,10.919999999999998
2,2014,ANGELINA,32.72
3,2014,ARCHER,30.92
4,2014,ATASCOSA,30.719999999999995
5,2014,AUSTIN,33.84000000000004
6,2014,BAILEY,20.199999999999992
7,2014,BANDERA,22.120000000000005
8,2014,BASTROP,33.050000000000004
9,2014,BAYLOR,19.160000000000004
10,2014,BEE,15.319999999999993
11,2014,BELL,29.17000000000001
12,2014,BOWIE,39.75000000000001
13,2014,BRAZORIA,17.6
14,2014,BREWSTER,6.83
15,2014,BRISCOE,18.35
16,2014,BROOKS,24.96
17,2014,BROWN,20.37
18,2014,BURLESON,29.27000000000001
19,2014,CALHOUN,30.530000000000005
20,2014,CALLAHAN,22.47
21,2014,CAMERON,6.1000000000000005
22,2014,CAMP,12.79
23,2014,CARSON,17.959999999999994
24,2014,CASS,43.64000000000001
25,2014,CASTRO,22.74000000000001
26,2014,CHAMBERS,43.31999999999999
27,2014,CLAY,30.92
28,2014,COCHRAN,18.29
29,2014,COLEMAN,25.590000000000003
30,2014,COLORADO,40.26000000000001
31,2014,COMAL,26.370000000000005
32,2014,COMANCHE,26.91
33,2014,CONCHO,24.270000000000003
34,2014,COTTLE,20.97
35,2014,CRANE,11.379999999999995
36,2014,DALLAM,9.6
37,2014,DAWSON,14.299999999999995
38,2014,DEAF SMITH,21.87
39,2014,DELTA,34.31
40,2014,DENTON,27.85000000000001
41,2014,DEWITT,26.86
42,2014,DICKENS,20.39
43,2014,DIMMIT,15.269999999999998
44,2014,DUVAL,13.429999999999998
45,2014,FALLS,29.9
46,2014,FANNIN,31.72999999999999
47,2014,FAYETTE,13.98
48,2014,FISHER,21.42
49,2014,FLOYD,24.340000000000003
50,2014,FOARD,21.960000000000004
51,2014,FRANKLIN,34.96000000000001
52,2014,FRIO,16.009999999999998
53,2014,GAINES,16.520000000000003
54,2014,GARZA,19.84
55,2014,GILLESPIE,24.11000000000001
56,2014,GOLIAD,0.95
57,2014,GONZALES,26.01
58,2014,GRAY,14.46
59,2014,GRAYSON,26.719999999999995
60,2014,GREGG,42.21
61,2014,GUADALUPE,22.4
62,2014,HALE,20.520000000000003
63,2014,HALL,17.77
64,2014,HANSFORD,13.170000000000002
65,2014,HARDEMAN,21.960000000000004
66,2014,HARDIN,49.97000000000001
67,2014,HARRIS,44.35
68,2014,HARRISON,42.560000000000024
69,2014,HASKELL,29.91
70,2014,HAYS,24.199999999999992
71,2014,HEMPHILL,21.04
72,2014,HENDERSON,31.98
73,2014,HILL,24.67000000000001
74,2014,HOCKLEY,21.56
75,2014,HOOD,25.620000000000005
76,2014,HOPKINS,29.050000000000008
77,2014,HOUSTON,44.73
78,2014,HOWARD,13.559999999999995
79,2014,HUDSPETH,11.6
80,2014,HUNT,27.76
81,2014,IRION,15.6
82,2014,JACK,26.41
83,2014,JACKSON,33.04
84,2014,JASPER,46.63
85,2014,JEFF DAVIS,18.929999999999996
86,2014,JIM HOGG,25.309999999999995
87,2014,JOHNSON,25.67
88,2014,JONES,22.27
89,2014,KENDALL,23.100000000000005
90,2014,KERR,17.19
91,2014,KING,25.72
92,2014,KINNEY,20.310000000000006
93,2014,KLEBERG,27.580000000000005
94,2014,KNOX,20.22
95,2014,LA SALLE,15.989999999999998
96,2014,LAMAR,38.51999999999999
97,2014,LAMB,19.410000000000004
98,2014,LAVACA,32.69000000000001
99,2014,LEE,39.33000000000001
100,2014,LEON,41.280000000000015
101,2014,LIBERTY,55.46000000000003
102,2014,LIPSCOMB,15.589999999999998
103,2014,LLANO,19.68
104,2014,LYNN,24.58000000000001
105,2014,MADISON,46.66000000000002
106,2014,MARTIN,8.580000000000002
107,2014,MASON,22.869999999999994
108,2014,MATAGORDA,38.660000000000025
109,2014,MAVERICK,15.459999999999996
110,2014,MCCULLOCH,20.770000000000007
111,2014,MCMULLEN,19.83
112,2014,MEDINA,17.84
113,2014,MIDLAND,13.06
114,2014,MILAM,30.29000000000001
115,2014,MILLS,22.800000000000008
116,2014,MITCHELL,17.200000000000006
117,2014,MONTAGUE,17.819999999999997
118,2014,MONTGOMERY,40.040000000000006
119,2014,MOORE,15.69
120,2014,MORRIS,37.54
121,2014,MOTLEY,24.380000000000006
122,2014,NACOGDOCHES,41.58
123,2014,NAVARRO,35.37
124,2014,NOLAN,15.92
125,2014,OCHILTREE,14.8
126,2014,OLDHAM,17.48
127,2014,ORANGE,53.07000000000002
128,2014,PANOLA,50.98
129,2014,PARMER,16.259999999999998
130,2014,PECOS,11.939999999999998
131,2014,POLK,15.63
132,2014,POTTER,20.740000000000006
133,2014,PRESIDIO,12.589999999999998
134,2014,RANDALL,18.350000000000005
135,2014,REAGAN,22.93
136,2014,REAL,19.64
137,2014,REEVES,1.09
138,2014,REFUGIO,24.030000000000005
139,2014,ROBERTS,6.34
140,2014,ROCKWALL,25.57000000000001
141,2014,RUNNELS,18.860000000000007
142,2014,RUSK,43.42999999999999
143,2014,SABINE,40.909999999999975
144,2014,SAN AUGUSTINE,22.5
145,2014,SAN PATRICIO,25.97
146,2014,SAN SABA,23.570000000000004
147,2014,SCHLEICHER,16.330000000000002
148,2014,SCURRY,21.34
149,2014,SHACKELFORD,19.36
150,2014,SHELBY,48.72
151,2014,SMITH,44.27
152,2014,SOMERVELL,27.86000000000001
153,2014,STARR,26.49000000000001
154,2014,STEPHENS,15.359999999999998
155,2014,STONEWALL,22.29000000000001
156,2014,SUTTON,12.679999999999998
157,2014,SWISHER,20.200000000000006
158,2014,TARRANT,22.61
159,2014,TITUS,37.65
160,2014,TYLER,33.53000000000001
161,2014,UVALDE,20.62
162,2014,VAL VERDE,11.45
163,2014,VAN ZANDT,31.55
164,2014,WALKER,44.02
165,2014,WARD,0.0
166,2014,WASHINGTON,42.50000000000001
167,2014,WEBB,16.869999999999994
168,2014,WHARTON,11.97
169,2014,WHEELER,0.0
170,2014,WILLACY,38.13000000000001
171,2014,WILSON,24.339999999999996
172,2014,WINKLER,6.8
173,2014,WISE,26.73
174,2014,WOOD,28.249999999999996
175,2014,YOUNG,19.41
176,2014,ZAPATA,10.78
177,2014,ZAVALA,15.919999999999998
