,YEAR,COUNTY,TOTAL PRCP
0,2012,ANDERSON,47.600000000000016
1,2012,ANDREW,10.949999999999998
2,2012,ANGELINA,34.550000000000004
3,2012,ARCHER,23.29
4,2012,ATASCOSA,25.66999999999999
5,2012,AUSTIN,41.24999999999999
6,2012,BAILEY,9.76
7,2012,BANDERA,21.950000000000006
8,2012,BASTROP,31.82000000000001
9,2012,BAYLOR,17.769999999999996
10,2012,BEE,14.889999999999995
11,2012,BELL,30.679999999999996
12,2012,BOWIE,36.840000000000025
13,2012,BRAZORIA,48.36000000000001
14,2012,BREWSTER,11.2
15,2012,BRISCOE,17.189999999999998
16,2012,BROOKS,13.88
17,2012,BROWN,25.91
18,2012,BURLESON,31.91
19,2012,CALHOUN,40.88
20,2012,CALLAHAN,24.89
21,2012,CAMERON,22.38000000000001
22,2012,CAMP,33.59000000000001
23,2012,CARSON,15.919999999999998
24,2012,CASS,38.010000000000026
25,2012,CASTRO,14.029999999999996
26,2012,CHAMBERS,48.28999999999999
27,2012,CLAY,23.29
28,2012,COCHRAN,13.299999999999995
29,2012,COLEMAN,28.64000000000001
30,2012,COLORADO,47.47
31,2012,COMAL,31.330000000000005
32,2012,COMANCHE,25.79000000000001
33,2012,CONCHO,28.43
34,2012,COTTLE,11.03
35,2012,CRANE,11.589999999999998
36,2012,CROCKETT,19.99
37,2012,DALLAM,14.04
38,2012,DAWSON,12.74
39,2012,DEAF SMITH,16.500000000000004
40,2012,DELTA,41.71000000000001
41,2012,DENTON,27.98000000000001
42,2012,DEWITT,25.58000000000001
43,2012,DICKENS,16.33
44,2012,DIMMIT,19.81
45,2012,DUVAL,14.99
46,2012,FALLS,34.290000000000006
47,2012,FANNIN,36.06
48,2012,FAYETTE,35.17
49,2012,FISHER,15.839999999999998
50,2012,FLOYD,11.830000000000005
51,2012,FOARD,19.45
52,2012,FRANKLIN,41.33000000000001
53,2012,FRIO,20.06
54,2012,GAINES,2.75
55,2012,GARZA,13.170000000000002
