Year,AvgGroundWater,County
2008,132.66982711424876,Andrews
2008,25.053048532403675,Aransas
2008,160.95461034708592,Atascosa
2008,142.21104694209941,Bailey
2008,231.6185445229204,Bastrop
2008,63.5333116499114,Borden
2008,431.4541254222543,Bowie
2008,46.571790580568376,Brazos
2008,159.3902689445189,Brewster
2008,185.96535220838186,Briscoe
2008,186.1133268908669,Brown
2008,46.571790580568376,Burleson
2008,25.053048532403675,Calhoun
2008,186.1133268908669,Callahan
2008,431.4541254222543,Camp
2008,216.64438846945515,Castro
2008,142.21104694209941,Cochran
2008,47.69982155603169,Coke
2008,470.20178328290393,Collin
2008,186.1133268908669,Comanche
2008,482.70848387511325,Coryell
2008,317.8103365487704,Crockett
2008,213.82765170313567,Crosby
2008,247.06953154876035,Culberson
2008,806.5499392604999,Dallas
2008,63.5333116499114,Dawson
2008,216.64438846945515,Deaf Smith
2008,254.57585944919413,Dimmit
2008,186.1133268908669,Erath
2008,863.342472168906,Falls
2008,34.85423105889443,Fayette
2008,197.84331746463567,Floyd
2008,232.6627681621485,Fort Bend
2008,213.82765170313567,Garza
2008,61.59643999266681,Gillespie
2008,233.19341984733273,Glasscock
2008,369.0367958426093,Gray
2008,187.2989799199019,Hale
2008,100.94091793420547,Hall
2008,703.7376315789485,Hamilton
2008,150.3503577355703,Hansford
2008,239.43567240900208,Hartley
2008,42.77201115587217,Haskell
2008,176.75464237516812,Hockley
2008,301.1315506636493,Hood
2008,431.4541254222543,Hopkins
2008,233.19341984733273,Howard
2008,139.8510461580989,Hudspeth
2008,238.0808857615899,Hutchinson
2008,135.27813030116826,Jeff Davis
2008,42.77201115587217,Knox
2008,254.57585944919413,La Salle
2008,135.82299866666645,Lamb
2008,231.6185445229204,Lee
2008,277.26998888733425,Lipscomb
2008,176.75464237516812,Lubbock
2008,132.66982711424876,Martin
2008,66.91557352128031,Mason
2008,366.75405190941154,Maverick
2008,136.65458404558348,McCulloch
2008,863.342472168906,McLennan
2008,160.95461034708592,McMullen
2008,225.26061706260296,Midland
2008,46.571790580568376,Milam
2008,340.51191964285545,Moore
2008,150.3503577355703,Ochiltree
2008,239.43567240900208,Oldham
2008,142.21104694209941,Parmer
2008,340.51191964285545,Potter
2008,352.9668797431341,Presidio
2008,225.26061706260296,Reagan
2008,319.91795097067177,Real
2008,143.85869882448176,Reeves
2008,25.053048532403675,Refugio
2008,46.571790580568376,Robertson
2008,470.20178328290393,Rockwall
2008,66.91557352128031,San Saba
2008,431.4541254222543,Smith
2008,233.19341984733273,Sterling
2008,185.96535220838186,Swisher
2008,55.315847614158145,Tom Green
2008,233.62609653246022,Travis
2008,431.4541254222543,Upshur
2008,877.0507103825138,Uvalde
2008,115.9053826831991,Val Verde
2008,431.4541254222543,Van Zandt
2008,25.053048532403675,Victoria
2008,11.96430615983522,Waller
2008,34.85423105889443,Washington
2008,254.57585944919413,Webb
2008,204.6535776539594,Wilson
2008,431.4541254222543,Wood
2008,366.75405190941154,Zavala
