Year,AvgGroundWater,County
2009,133.93193660227828,Andrews
2009,29.90167416994942,Aransas
2009,15.787435934144558,Archer
2009,166.95781313199484,Atascosa
2009,144.30915345820998,Bailey
2009,229.1185923192578,Bastrop
2009,15.787435934144558,Baylor
2009,63.992761870243314,Borden
2009,432.63246599277227,Bowie
2009,47.63109568733098,Brazos
2009,144.46020367937027,Brewster
2009,186.5328205128211,Briscoe
2009,185.47926584421685,Brown
2009,47.63109568733098,Burleson
2009,29.90167416994942,Calhoun
2009,185.47926584421685,Callahan
2009,432.63246599277227,Camp
2009,217.801263800794,Castro
2009,15.787435934144558,Childress
2009,144.30915345820998,Cochran
2009,49.25058182353782,Coke
2009,475.93579661683975,Collin
2009,135.14647679324915,Collingsworth
2009,185.47926584421685,Comanche
2009,487.33188864521276,Coryell
2009,318.58743558776496,Crockett
2009,217.4388926049794,Crosby
2009,247.7959990422665,Culberson
2009,802.4462410668241,Dallas
2009,63.992761870243314,Dawson
2009,217.801263800794,Deaf Smith
2009,304.8852617914316,Dimmit
2009,185.47926584421685,Erath
2009,856.1005626496386,Falls
2009,36.129524222525006,Fayette
2009,199.82192901234305,Floyd
2009,15.787435934144558,Foard
2009,229.84985321857792,Fort Bend
2009,217.4388926049794,Garza
2009,64.04549820502321,Gillespie
2009,231.6429830598205,Glasscock
2009,369.64838295165356,Gray
2009,189.225966376029,Hale
2009,101.60797957493801,Hall
2009,707.1734690879915,Hamilton
2009,151.30644358268782,Hansford
2009,240.58914957856402,Hartley
2009,44.75390107775198,Haskell
2009,178.63000373971494,Hockley
2009,304.51091816114854,Hood
2009,432.63246599277227,Hopkins
2009,231.6429830598205,Howard
2009,138.5390109489065,Hudspeth
2009,238.94898704663314,Hutchinson
2009,68.39517274107841,Jackson
2009,135.8190419753086,Jeff Davis
2009,44.75390107775198,Knox
2009,304.8852617914316,La Salle
2009,136.8218631178716,Lamb
2009,306.89646226415084,Lampasas
2009,65.01787828606905,Lavaca
2009,229.1185923192578,Lee
2009,277.18583771161457,Lipscomb
2009,178.63000373971494,Lubbock
2009,133.93193660227828,Martin
2009,68.84453931438755,Mason
2009,68.39517274107841,Matagorda
2009,384.8086436644859,Maverick
2009,136.75710460460388,McCulloch
2009,856.1005626496386,McLennan
2009,166.95781313199484,McMullen
2009,225.8843088792985,Midland
2009,47.63109568733098,Milam
2009,341.26185671642486,Moore
2009,151.30644358268782,Ochiltree
2009,240.58914957856402,Oldham
2009,144.30915345820998,Parmer
2009,341.26185671642486,Potter
2009,352.7367708333286,Presidio
2009,225.8843088792985,Reagan
2009,332.16544121430536,Real
2009,143.8875370741494,Reeves
2009,29.90167416994942,Refugio
2009,47.63109568733098,Robertson
2009,475.93579661683975,Rockwall
2009,68.84453931438755,San Saba
2009,432.63246599277227,Smith
2009,231.6429830598205,Sterling
2009,270.14738141263666,Sutton
2009,186.5328205128211,Swisher
2009,56.30358255045273,Tom Green
2009,258.78245631126345,Travis
2009,432.63246599277227,Upshur
2009,865.2434794520551,Uvalde
2009,116.33593299989894,Val Verde
2009,432.63246599277227,Van Zandt
2009,29.90167416994942,Victoria
2009,75.24425374178195,Walker
2009,12.394380799091016,Waller
2009,36.129524222525006,Washington
2009,304.8852617914316,Webb
2009,15.787435934144558,Wilbarger
2009,221.42855840150253,Wilson
2009,432.63246599277227,Wood
2009,384.8086436644859,Zavala
